年份,首播日期,頻道,集數,劇名,主演
2014年,12月16日 4月20日 4月29日,三立都會台 東森綜合台 超視 龍華偶像台,84, 我的寶貝四千金 ,洪小鈴 、 修杰楷 、 曾之喬 、 謝佳見 、 小薰 、 周群達 、 方志友 、 李運慶
2015年,1月4日 1月10日 1月11日,中視 中天綜合台 龍華偶像台,13, 鋼鐵之心 ,柯有倫 、 袁艾菲 、 Darren 、 陳匡怡 、 阿緯 、 昆凌
2015年,1月11日 1月17日 6月26日,台視 三立都會台 龍華偶像台,20, 聽見幸福 ,王傳一 、 任容萱 、 邵翔 、 雷瑟琳 、 威廉
2015年,1月16日 1月17日,台視 八大綜合台,15, 新世界 ,張庭瑚 、 楊可涵 、 潘柏希 、 蔡黃汝
2015年,2月6日 2月7日,三立台灣台 八大第一台,22, 珍珠人生 ,楊可涵 、 陳冠霖 、 紀寶如 、 龍劭華 、 湯志偉 、 陳志強 、 林乃華 、 李亮瑾
2015年,2月8日 2月8日 2月15日,民視 WIN戲劇台 龍華偶像台,10, 星座愛情牡羊女 ,Janet 、 修杰楷 、 王樂妍 、 李沛旭
2015年,3月20日 3月21日,三立都會台 東森綜合台,19, 莫非，這就是愛情 ,唐禹哲 、 李佳穎 、 簡宏霖 、 王思平
2015年,3月24日 4月4日,公視HD台 公視,6, 我的15分鐘 ,蕭閎仁 、 洪聆翔 、 楊可涵 、 謝翔雅 、 李程彬
2015年,3月30日 3月30日 3月31日 4月9日,客家電視台 中視HD台 公視主頻 公視HD台,20, 出境事務所 ,吳慷仁 、 黃姵嘉 、 林雨宣 、 郭鑫
2015年,4月5日 4月11日,中視 中天綜合台,28, 超級大英雄 ,汪東城 、 謝欣穎 、 任容萱 、 胡洋 、 謝孟偉
2015年,4月10日,中視,13, 鑑識英雄 ,王識賢 、 周孝安 、 蔡淑臻 、 蔡黃汝
2015年,4月14日,三立都會台 東森綜合台,72, 好想談戀愛 ,竇智孔 、 黃姵嘉 、 陳乃榮 、 李維維 、 房思瑜 、 王家梁 、 李宗霖 、 黃薇渟
2015年,4月19日 4月19日 4月25日 4月26日,民視 WIN戲劇台 東森綜合台 龍華偶像台,9, 星座愛情獅子女 ,柯佳嬿 、 黃騰浩 、 白梓軒 、 姚以緹
2015年,5月1日 5月2日 9月6日,台視 TVBS歡樂台 龍華偶像台,21, 哇！陳怡君 ,陳怡蓉 、 姚元浩 、 鄒承恩 、 李千娜
2015年,5月2日 6月6日,華視 年代MUCH台,13, 一代新兵之八極少年 ,傅孟柏 、 吳亞馨 、 邱品程 、 陳尚澤 、 楊永維 、 席敬倫 、 范峻銘
2015年,5月4日,LINE TV,13, 迷徒·Claire ,李毓芬 、 修杰楷 、 利晴天 、 陸明君
2015年,5月7日,台視,54, 春梅 ,林予晞 、 Junior 、 Darren 、 楊子儀 、 王思平 、 李沛旭
2015年,5月30日,中視,16, 七個朋友 ,陳奕 、 沈建宏 、 任容萱 、 唐振剛 、 付辛博 、 劉忻 、 傅穎
2015年,5月31日 6月6日,台視 三立都會台,20, 他看她的第2眼 ,劉以豪 、 魏蔓 、 趙杰 、 邵雨薇
2015年,6月6日,公視 衛視中文台,20, 長不大的爸爸 ,張書豪 、 李佳穎 、 陳乃榮 、 謝沛恩
2015年,6月21日 6月21日 6月27日 6月28日,民視 WIN戲劇台 東森綜合台 龍華偶像台,10, 星座愛情雙魚女 ,蔡黃汝 、 謝坤達 、 張睿家 、 林辰唏
2015年,7月4日 7月4日 8月21日,客家電視台 公視HD台 華視,13, 落日 ,朱陸豪 、 單承矩 、 鄧九雲 、 張書偉 、 樓學賢
2015年,7月10日 7月11日,三立台灣台 八大第一台,15, 思慕的人 ,陳怡嘉 、 謝承均 、 李易
2015年,7月19日 7月25日,中視 中天綜合台,15, 失去你的那一天 ,王傳一 、 李千娜 、 莫允雯 、 古斌 、 陳奕 、 路嘉欣
2015年,7月23日,三立都會台 東森綜合台,74, 軍官·情人 ,寇世勳 、 馬之秦 、 劉品言 、 周采詩 、 孫其君
2015年,8月2日,年代MUCH台,8, 一代新兵之八極少年(第二季) ,傅孟柏 、 吳亞馨 、 邱品程 、 陳尚澤 、 楊永維 、 席敬倫 、 范峻銘
2015年,8月7日 8月8日,三立都會台 東森綜合台,22, 料理高校生 ,李國毅 、 林予晞 、 Duncan 、 雷瑟琳
2015年,8月22日 8月23日 9月12日,台視 東森綜合台 龍華偶像台,15, 致，第三者 ,安心亞 、 謝佳見 、 謝沛恩 、 張立昂
2015年,8月29日,衛視中文台,13, 我的鬼基友 ,張睿家 、 劉以豪 、 陳匡怡
2015年,8月30日 8月30日 8月30日 9月6日,民視 民視四季台 WIN戲劇台 龍華偶像台,11, 星座愛情水瓶女 ,夏于喬 、 張棟梁 、 路斯明 、 樓庭岑
2015年,9月9日,八大綜合台,30, 明若曉溪 ,曾沛慈 、 子閎 、 Evan 、 徐開騁 、 曹曦月 、 蔡頤榛
2015年,10月16日 10月17日,台視 TVBS歡樂台,15, 唯一繼承者 ,張睿家 、 宋芸樺 、 楊晴 、 戴祖雄
2015年,10月18日 10月24日,台視 三立都會台,18, 愛上哥們 ,陳楚河 、 賴雅妍 、 畢書盡 、 邵翔 、 陳語安
2015年,11月1日 11月7日 11月21日,中視 東森綜合台 龍華偶像台,15, 必娶女人 ,邱澤 、 柯佳嬿 、 曾之喬 、 張懷秋
2015年,11月4日,三立都會台 東森綜合台,77, 戀愛鄰距離 ,王傳一 、 洪小鈴 、 簡宏霖 、 大元 、 邱昊奇 、 李京恬 、 莫允雯
2015年,11月15日 11月15日 11月22日,民視 WIN戲劇台 龍華偶像台,8, 星座愛情魔羯女 ,朱芯儀 、 謝祖武 、 李至正 、 小蠻
2015年,12月4日,LINE TV,15, 同樂會 ,布魯斯 、 劉奕兒 、 黃姵嘉 、 謝沛恩 、 利晴天 、 陳景煬
2015年,12月6日,原住民族電視台,20, 米高級公寓 ,姜柏任 、 阿爆 、 王鏡冠 、 田聖希 、 凱爾 、 林筱駿
2015年,12月9日 12月12日 12月13日,LINE TV 緯來戲劇台 三立都會台,16, 舞吧舞吧在一起 ,鄒承恩 、 魏如昀 、 黃河 、 楊奇煜 、 唐振剛 、 曾少宗
2015年,12月12日 12月13日,台視 東森綜合台,16, 我的30定律 ,修杰楷 、 夏于喬 、 劉品言 、 古斌
2015年,12月19日,公視,31, 一把青 ,楊一展 、 楊謹華 、 藍鈞天 、 天心 、 吳慷仁 、 連俞涵 、 鍾承翰 、 温貞菱
2015年,12月28日,公視,20, 燦爛時光 ,巫建和 、 姚淳耀 、 傅小芸 、 林柏宏 、 賈佩雅
2015年,,LiTV 線上影視,13, 單身有約 ,唐琪 、 王彩樺 、 趙小僑 、 黎卉淇 、 趙駿亞
2016年,1月10日,民視 WINHD戲劇台,13, 新娘嫁到 ,唐美雲 、 Junior 、 雷洪 、 海倫清桃 、 傅子純 、 張景嵐 、 張瓊姿 、 楊子儀 、 阮氏翠恆 、 吳皓昇 、 楊羽霓
2016年,1月22日 1月23日 2月20日,三立都會台 東森綜合台 LINE TV,21, 1989一念間 ,張立昂 、 邵雨薇 、 蔡黃汝 、 孫沁岳 、 楊鎮 、 張捷
2016年,1月29日 1月30日,台視 TVBS歡樂台,14, 幸福不二家 ,竇智孔 、 大久保麻梨子 、 黃嘉千 、 羅北安
2016年,2月21日 2月22日 2月27日,中視 LINE TV 衛視中文台,20, 聶小倩 ,陳庭妮 、 李銘順 、 莫子儀 、 紀培慧 、 劉松仁 、 周孝安
2016年,2月24日 3月4日,三立都會台 東森綜合台 LINE TV,70, 大人情歌 ,李維維 、 Darren 、 邵翔 、 周采詩 、 孫其君 、 丁巧唯
2016年,3月4日 3月5日,三立台灣台 八大第一台,22, 紫色大稻埕 ,施易男 、 柯佳嬿 、 鄭人碩 、 林玟誼
2016年,3月6日 3月7日 3月12日,台視 LINE TV 三立都會台,17, 後菜鳥的燦爛時代 ,炎亞綸 、 曾之喬 、 賴琳恩 、 李運慶
2016年,3月24日,八大綜合台,40, 我家是戰國 ,謝祖武 、 Melody 、 柯淑勤 、 花花 、 林若亞 、 郭鑫 、 張兆志 、 楊蕎安
2016年,3月28日,Vidol,5, 青春自拍團 ,孫沁岳 、 阿喜 、 李迪恩 、 林珈安
2016年,3月28日,客家電視台,20, 谷風少年 ,游君萍 、 吳政迪 、 林雨宣 、 陳子鈞 、 徐麗雯 、 洪綺陽 、 劉爾金 、 謝宇威 、 溫吉興
2016年,4月9日 4月10日,台視 東森綜合台 LINE TV,15, 我和我的十七歲 ,李國毅 、 謝欣穎 、 王家梁 、 周曉涵 、 鄭茵聲
2016年,4月12日,民視,444, 我的老師叫小賀 ,王樂妍 、 白家綺 、 GINO 、 周孝安 黃荻鈞 、 華千涵 、 馬力歐 、 馬俊麟 錢君仲 、 李博翔 、 邱子芯 、 王上豪 蘇暐淇 、 吳東諺 、 陳芊羽 黃金鴻 、 陳彥佐
2016年,3月29日 4月9日 4月16日,愛奇藝台灣站 公視 東森超視,20, 滾石愛情故事 ,楊丞琳 、 許瑋甯 、 吳慷仁 、 郭書瑤 、 楊祐寧 、 黃鴻升 、 張榕容 、 謝欣穎 、 明道 、 楊謹華 、 郭雪芙 、 李國毅 、 李玉璽 、 曹晏豪 、 柯有倫 、 林柏宏 、 張本渝 、 曾沛慈 、 陳乃榮 、 陳漢典
2016年,4月17日,民視,41, 阿不拉的三個女人 ,柯叔元 、 劉香慈 、 李珞晴 、 王瞳 、 余秉諺 、 方宥心
2016年,4月20日 5月4日,中視 衛視中文台 愛奇藝台灣站 LINE TV,40, 原來1家人 ,藍心湄 、 邱澤 、 郭書瑤 、 謝坤達 、 劉子千 、 楊晴 、 張景嵐
2016年,5月6日 5月7日,台視 TVBS歡樂台,15, 遺憾拼圖 ,楊貴媚 、 謝佳見 、 黃姵嘉 、 懷秋 、 朱芷瑩 、 李易
2016年,6月1日,三立都會台 東森綜合台,60, 我的極品男友 ,林佑威 、 黃騰浩 、 簡宏霖 、 連俞涵 、 林逸欣 、 林可彤
2016年,6月15日 7月5日,中視 中天娛樂台,20, 來自未來的史密特 ,林佑威 、 李毓芬 、 鍾承翰 、 賴琳恩
2016年,6月15日 7月7日,大愛電視台,23, 人生逆轉勝 ,劉銘 、 李淑楨 、 庹宗華 、 柯素雲
2016年,6月18日,公視,20, 今晚，你想點什麼？ ,張瓊姿 、 楊烈 、 孫情 、 林若亞 、 王凱 、 黃瑄 、 方少韋 、 黃荻鈞
2016年,6月20日,華視,30, 火車情人 ,李天柱 、 張書豪 、 孟耿如 、 安唯綾 、 潘慧如 、 張翰
2016年,6月27日,八大綜合台 優酷,60, 終極一班4 ,曾沛慈 、 汪東城 客串 趙志偉 、 宏正 、 偉晉 、 文雨非 、 何海東 、 蔣蕊澤
2016年,7月3日 7月9日,台視 三立都會台,18, 狼王子 ,張軒睿 、 安心亞 、 古斌 、 林明禎 、 陳語安 、 薛仕凌
2016年,7月8日 7月9日,三立都會台 東森綜合台,18, 飛魚高校生 ,王傳一 、 魏蔓 、 張雁名 、 袁詠琳 、 蔡昌憲
2016年,7月8日 8月3日,LINE TV 緯來綜合台,10, 劣人傳之詭計 ,郭書瑤 、 李宗霖 、 陳慕 、 陳映蓁 、 陳芷妧
2016年,7月12日 7月13日,中視 中天娛樂台,66, 美好年代 ,劉奕兒 、 布魯斯 、 安俊朋 、 黃仁德 、 楊銘威
2016年,7月13日,中視,20, 皇恩浩蕩 ,李章宇 、 方安娜 、 陳匡怡 、 敖犬
2016年,7月21日,播吧,13, 我要讓你愛上我 ,林明禎 、 楊奇煜 、 戴祖雄 、 林建予 、 雨婷
2016年,7月21日,Vidol,5, 啟動愛情這件事 ,王詩安 、 林珈安 、 黃甄妮 、 邵翔
2016年,7月30日 7月31日,台視 東森綜合台,16, 必勝練習生 ,柯有倫 、 林予晞 、 安哲 、 方志友 、 張景嵐
2016年,8月1日,華視,38, 海海人生 ,六月 、 張勛傑 、 李沛旭 、 阿本
2016年,8月5日 8月6日,三立台灣台 八大第一台,21, 白鷺鷥的願望 ,連靜雯 、 張靜之 、 Junior 、 趙駿亞
2016年,8月6日,八大第一台,13, 命運交叉路 ,霍正奇 、 莫棠予 、 周明增
2016年,8月18日,KKTV,5, 重新。沒來過 ,張睿家 、 姚以緹 、 喻永翔 、 朱永德 、 黃榕兒
2016年,8月19日 8月20日,台視 八大綜合台,7, 植劇場－戀愛沙塵暴 ,吳慷仁 、 陳妤 、 樊光耀 、 柯淑勤 、 鄧育凱 、 葉星辰
2016年,8月24日,CHOCO TV,6, 我們是歐爸 ,謝祖武 、 宋少卿 、 陳德烈 、 王宇婕 、 李亮瑾
2016年,9月19日,八大綜合台,20, 終極遊俠 ,羅雲熙 、 程硯萩 、 SpeXial-Evan 、 程予希
2016年,10月1日 1月21日,愛奇藝台灣站 衛視電影台,10, CODE浮士德遊戲 ,吳慷仁 、 謝沛恩 、 張翰
2016年,10月7日 10月8日,台視 八大綜合台,6, 植劇場－荼蘼 ,楊丞琳 、 顏毓麟 、 路斯明 、 張復健 、 陳季霞 、 謝盈萱
2016年,10月11日,中視 中天娛樂台,55, 多桑の純萃年代 ,石峰 、 尹昭德 、 陳霆 、 李運慶 、 連靜雯 、 小薰 、 茵芙
2016年,10月15日,八大綜合台 愛奇藝台灣站,13, High 5 制霸青春 ,宏正 、 晨翔 、 毛弟 、 程予希 、 宇宙
2016年,10月26日,三立都會台 東森綜合台,65, 獨家保鑣 ,謝佳見 、 洪小鈴 、 黃薇渟 、 孫沁岳
2016年,10月28日,CHOCO TV,6, X情人 ,文雨非 、 利晴天 、 周定緯 、 方語昕
2016年,11月12日,TVBS歡樂台,15, 在一起，就好 ,鍾承翰 、 曾沛慈 、 陳彥允 、 陳艾熙
2016年,11月13日 11月19日,台視 三立都會台,19, 浮士德的微笑 ,張立昂 、 劉奕兒 、 邵翔 、 陽詠存 、 洪詩
2016年,11月14日,LINE TV,13, 迷徒Chloe ,李千娜 、 謝祖武 、 吳慷仁 、 劉以豪
2016年,11月18日 11月19日,台視 八大綜合台,6, 植劇場－姜老師，妳談過戀愛嗎？ ,藍正龍 、 葉星辰 、 禾語辰
2016年,11月23日,台視 LINE TV,60, 700歲旅程 ,邱凱偉 、 陳怡嘉 、 張本渝 、 龍劭華 、 丁強
2016年,12月3日 12月4日,台視 東森綜合台,17, 如朕親臨 ,李國毅 、 連俞涵 、 藍鈞天 、 房思瑜 、 范宸菲 、 楊子儀
2016年,12月8日 12月11日,LINE TV 東森超視,39 13, 惡作劇之吻 2016 ,李玉璽 、 吳心緹 、 宮以騰 、 席惟倫
2016年,12月12日,客家電視台,20, 明天一起去樂園 ,張翰 、 林利霏 、 安唯綾 、 嚴浩
2016年,12月28日,中視 中天娛樂台,40, 讓愛飛揚 ,王家梁 、 寇家瑞 、 楊鎮 、 郭彥甫 、 王道 、 寇世勳 、 艾偉 、 沈孟生
2016年,12月28日,CHOCO TV,6, 志明與春嬌 ,薛仕凌 、 方語昕 、 吳子霏 、 北原山貓
2016年,12月30日 12月31日,台視 八大綜合台,7, 植劇場－天黑請閉眼 ,張書豪 、 簡嫚書 、 曹晏豪 、 孫可芳 、 陳禕倫 、 徐鈞浩 、 朱盛平 、 藍雅芸 、 黃尚禾 、 黃迪揚
2017年,2月14日,CHOCO TV,4, HIStory-MY HERO ,賴東賢 、 蔣昀霖 、 林映唯
2017年,2月21日,CHOCO TV,4, HIStory-離我遠一點 ,吳承璟 、 宋柏緯 、 焦曼婷
2017年,2月22日 3月13日,愛奇藝台灣站 中視,30, 櫻桃小丸子 ,林芯蕾 、 汪東城 、 魏蔓 、 林佑威 、 茵芙 、 顧寶明 、 譚艾珍
2017年,2月24日 2月25日,台視 八大綜合台 愛奇藝台灣站,7, 植劇場－積木之家 ,施易男 、 林子熙 、 陳婉婷 、 范宸菲 、 呂雪鳳 、 曾少宗 、 張詩盈 、 丁也恬
2017年,2月28日,CHOCO TV,4, HIStory-著魔 ,森竣 、 任祐成 、 陳沂
2017年,3月3日 3月4日,三立都會台 東森綜合台 LINE TV,22, 極品絕配 ,吳慷仁 、 邵雨薇 、 吳思賢 、 小蠻 、 陳乃榮 、 劉書宏
2017年,3月7日,三立都會台 東森綜合台,63, 只為你停留 ,李沛旭 、 小薰 、 簡宏霖 、 嚴正嵐
2017年,3月18日,公視 TVBS歡樂台 KKTV,15, 酸甜之味 ,賀一航 、 柯淑勤 、 六月 、 張書豪 、 黃遠 、 林予晞 、 方志友 、 張翰
2017年,3月26日 4月1日,台視 三立都會台,19, 我的愛情不平凡 ,楊一展 、 蔡黃汝 、 周孝安 、 陳敬宣 、  阿喜
2017年,3月27日,客家電視台 KKTV,20, 勞動之王 ,黃騰浩 、 安唯綾 、 古斌 、 羅思琦 、 張靜之
2017年,3月28日,中視 中天綜合台,40, 這些年那些事 ,安俊朋 、 宇珊 、 沈建宏 、 金凱德
2017年,4月2日,公視 HBO Asia,6, 通靈少女 ,郭書瑤 、 蔡凡熙 、 謝翔雅 、 鄭茵聲 、 陳慕義
2017年,4月14日 4月15日,台視 八大綜合台 愛奇藝台灣站,6, 植劇場－夢裡的一千道牆 ,黃河 、 莫允雯 、 張逸軍 、 徐鈞浩 、 陳禕倫 、 楊傑宇 、 陳禕倫 、 朱盛平 、 管翊君 、 吳岳擎 、 劉心宇 、 吳昆達
2017年,4月15日 4月16日,台視 東森綜合台 LINE TV,15, 鐘樓愛人 ,周湯豪 、 孟耿如 、 黃薇渟 、 張捷 、 楊銘威 、 藍雅芸
2017年,4月16日,台視,4, 閱讀時光2 ,趙擎 、 潘儀君 、 姚坤君 、 曹晏豪 、 梅芳 、 李李仁 、 謝祖武 、 蔡振南 、 謝麗金 、 楊謹華 、 高英軒 、 福地佑介 、 許乃涵
2017年,5月10日,KKTV 愛奇藝台灣站,8, 紅色氣球 ,徐韜 、 陳世承 、 謝坤達 、 亮哲 、 方志友 、 吳子霏
2017年,5月10日,KKTV YouTube CHOCO TV,8, 私室 ,黃尚禾 、 謝祖武 、 鄭人碩 、 許乃涵 、 曾紫庭 、 蘇育惟
2017年,5月26日 5月27日,台視 八大綜合台 愛奇藝台灣站,7, 植劇場－花甲男孩轉大人 ,盧廣仲 、 蔡振南 、 王彩樺 、 龍劭華 、 康康 、 柯叔元 、 海裕芬 、 嚴正嵐 、 江宜蓉 、 林意箴 、 江常輝 、 劉冠廷 、 葉辰莛 、 曲獻平 、 今子嫣
2017年,6月14日,CHOCO TV,4, 咕咾小姐 ,海裕芬 、 林可彤 、 戴祖雄 、 郭彥甫 、 應采靈
2017年,6月19日,八大綜合台,69, 終極三國2017 ,SpeXial-子閎 、 SpeXial-偉晉 、 SpeXial-Evan 、 SpeXial-易恩 、 金中西 、 張賀茗 、 趙堯珂 、 A'N'D-鍾羽 、 A'N'D-Lucia 、 陳詩敏
2017年,7月4日 7月9日,酷瞧 CHOCO TV 龍華偶像台,12, 富錦街-這條街上的那些故事 ,連俞涵 、 森竣 、 潘俊佳
2017年,7月8日,公視,5, 起鼓·出獅 ,高英軒 、 謝盈萱 、 戚冠軍 、 太保 、 葛蕾
2017年,7月14日 7月15日,台視 八大戲劇台 愛奇藝台灣站,6, 植劇場－五味八珍的歲月 ,安心亞 、 鍾承翰 、 孫可芳 、 顏毓麟
2017年,7月21日,CHOCO TV,6, 東區小巷的大廟 ,林郁智 、 杜姸 、 李冠毅 、 梁正群 、 張家慧 、 石知田 、 蔡燦得
2017年,7月30日 8月6日,中視 東森戲劇台 KKTV LINE TV CHOCO TV 愛奇藝台灣站,15, 稍息立正我愛你 ,邱勝翊 、 曾之喬 、 郭書瑤 、 王以綸
2017年,8月3日,酷瞧,8, 女大生宿舍 ,王思平 、 趙靜儀 、 吳子霏 、 曹婕妤 、 林甜甜 、 各務孝太
2017年,8月5日 8月6日,台視 東森綜合台 KKTV LINE TV CHOCO TV 愛奇藝台灣站,15, 我和我的四個男人 ,李毓芬 、 嚴爵 、 黃仁德 、 許孟哲 、 許維恩 、 王彩樺 、 馬念先 、 吳岳擎 、 徐崧育
2017年,8月6日 8月12日,台視 三立都會台 Vidol 愛奇藝台灣站,18, 噗通噗通我愛你 ,陳奕 、 魏蔓 、 簡宏霖 、 沈建宏 、 陶嫚曼
2017年,8月8日,CHOCO TV,30, 老爸上身 ,謝祖武 、 曹蘭 、 黃姵嘉 、 邱昊奇 、 陳向熙 、 方語昕
2017年,9月2日,緯來戲劇台 靖天戲劇台,16, 最好的選擇 ,陳禕倫 、 袁艾菲 、 高山峰 、 安唯綾
2017年,9月13日,公視,5, 魔幻對決 ,天心 、 蘇達 、 張翰 、 姚以緹 、 高英軒 、 朱陸豪 、 高振鵬
2017年,9月14日,民視,358, 實習醫師鬥格 ,張捷 、 陳向熙 、 夏宇禾 、 林柏妤 、 哈孝遠 、 吳志慶 、 應蔚民 、 李又汝 、 廖怡裬 、 潘映竹 、 謝京穎 、 林玉書
2017年,9月15日,酷瞧,8, 恐怖高校劇場之直播中二間 ,宋柏緯 、 巫建和 、 晏柔中 、 詹宛儒 、 胡韶恩 、 楊雅筑
2017年,9月28日,Vidol LINE TV 三立都會台 東森綜合台,10, 我的未來男友 ,張軒睿 、 程予希 、 黃尚禾 、 涂善存 、 陳庭萱
2017年,10月12日 10月28日,friDay影音 KKTV myVideo 緯來戲劇台,20, 逃婚一百次 ,黃鴻升 、 李千娜 、 納豆 、 張景嵐 、 許萌希
2017年,10月16日 10月30日,公視+ 公視,40, 城市情歌 ,李佳豫 、 潘麗麗 、 嚴藝文 、 王凱 、 孫情 、 張瓊姿 、 陳子強
2017年,10月24日,三立都會台 東森綜合台,34, 真情之家 ,孫沁岳 、 陽詠存 、 紀言愷 、 李維維 、 苗可麗 、 謝祖武
2017年,11月5日,民視 酷瞧,3, 機密訊號 ,黃騰浩 、 謝坤達 、 林逸欣 、 林雨宣 、 梁瀚名 、 黃迪揚 、 陳大天 、 張東晴 、 李依瑾
2017年,11月17日,KKTV,12, 瑪麗蘇遇上傑克蘇 ,劉以豪 、 祁琪 、 李穎 、 鐘駿勝 、 李雨奚
2017年,11月21日,酷瞧,12, 深藍與月光 ,王庭勻 、 林柏叡 、 黃庭軒 、 陳彥名
2017年,12月2日 12月3日,台視 東森綜合台 KKTV LINE TV CHOCO TV 愛奇藝台灣站,16, 獅子王強大 ,曹晏豪 、 周曉涵 、 劉書宏 、 陽靚
2017年,12月10日 12月16日,台視 三立都會台,16, 已讀不回的戀人 ,鍾承翰 、 蔡黃汝 、 黃瀞怡 、 邱昊奇
2017年,12月13日,KKTV,8, 第一次 ,曹婕妤 、 黃禮豐 、 柯淑勤 、 李洺中 、 唐從聖
2017年,12月18日,酷瞧,4, 可惡！把我的青春還給我 ,邵雨薇 、 夏騰宏 、 歐陽倫 、 徐韜 、 張珀榕
2017年,12月22日 12月23日,KKTV 愛奇藝台灣站 LiTV 台視 八大戲劇台,20, 我的男孩 ,林心如 、 張軒睿 、 李李仁 、 高聖遠
2018年,1月12日 1月13日,三立都會台 東森綜合台,13, 姊的時代 ,鍾瑶 、 吳思賢 、 潘慧如 、 朱芷瑩 、 李運慶 、 吳定謙
2018年,1月22日,愛奇藝台灣站,60, 終極一班5 ,馬振桓 、 辰亦儒 、 五熊 、 宏正 、 偉晉 、 文雨非 、 許明傑 、 蔣蕊澤
2018年,1月28日,myVideo,10, 非私不可咖啡館 ,梁以辰 、 梁正群 、 王宣 、 林敬倫 、 范峻銘 、 詹博翔
2018年,1月30日,CHOCO TV,8, HIStory2-是非 ,江常輝 、 張行
2018年,2月14日 12月10日,i‧active 華視,12 13, 紡綞蟲的記憶 ,莊凱勛 、 瑤涵沂 、 金子昇 、 柴本幸
2018年,3月3日,TVBS歡樂台,15, 翻牆的記憶 ,何潤東 、 楊晴 、 陳怡蓉 、 鄒承恩 、 李千娜 、 張庭瑚 、 吳念軒
2018年,3月6日,CHOCO TV,8, HIStory2-越界 ,盧彥澤 、 范少勳 、 施柏宇 、 楊孟霖
2018年,3月6日,亞洲旅遊台,4, 果然愛情很麻煩 ,廖科溢 、 水澤惠麗奈 、 栗山航
2018年,3月14日,台視 東森綜合台 愛奇藝台灣站,26, 1006的房客 ,李國毅 、 謝欣穎 、 謝坤達 、 黃騰浩 、 謝沛恩 、 許光漢
2018年,3月29日,搜狐視頻 CHOCO TV myVideo 台視,20, 動物系戀人啊 ,鍾欣潼 、 賀軍翔 、 隋棠 、 張睿家
2018年,3月31日,台視 東森綜合台 愛奇藝台灣站,15, 高塔公主 ,孟耿如 、 莫允雯 、 鄭茵聲 、 王牧語 、 周群達 、 利晴天 、 王家梁
2018年,4月2日,客家電視台,14, 台北歌手 ,莫子儀 、 黃姵嘉 、 楊小黎
2018年,4月13日,LUVE TV,8, 半熟少年 ,王柏人 、 許明傑 、 安婕希
2018年,4月15日,台視 三立都會台,18, 三明治女孩的逆襲 ,張立昂 、 葉星辰 、 林子閎 、 邵翔 、 廖奕琁
2018年,5月1日,CHOCO TV,8, 愛情教會我的事-秘密情人 ,戴祖雄 、 袁詠琳 、 宗念美 、 康茵茵 、 隋玲
2018年,5月18日,台視 八大戲劇台 KKTV,13, 前男友不是人 ,楊丞琳 、 藍正龍 、 路斯明 、 李杏 、 海裕芬 、 薛仕凌
2018年,6月13日,台視 東森綜合台 愛奇藝台灣站,24, 人際關係事務所 ,曹佑寧 、 郭書瑤 、 王柏傑 、 馬志翔 、 陽靚
2018年,6月14日,LUVE TV,6, 高三症候群 ,朱玉宸 、 笑笑 、 李育群 、 朱玉恩 、 安啾
2018年,6月16日,公視,4, 奇蹟的女兒 ,連俞涵 、 温貞菱 、 孫可芳 、 林哲熹 、 黃鐙輝
2018年,7月2日,愛奇藝台灣站,24, 熱血高校 ,蔣雪鳴 、 陳昊宇 、 曹佑寧 、 趙粵 、 溫昇豪 、 王振 、 陳庭萱 、 陳彥佐 、 昌璟翔 、 洪晟文
2018年,7月4日,KKTV,9, 美男魚澡堂 ,李沛旭 、 賴琳恩 、 陳昊森
2018年,7月7日,公視 公視+ Netflix LINE TV,10, 你的孩子不是你的孩子 ,柯素雲 、 劉子銓 、 鍾欣凌 、 劉修甫 、 尹馨 、 王淨 、 謝瓊煖 、 王渝萱 、 葉全真 、 吳兆絃
2018年,7月10日 7月12日,TVBS歡樂台 台視,92, 女兵日記 ,劉香慈 、 梁瀚名 、 小嫻 、 楊晴 、 羅平 、 楊雅筑 、 陳謙文 、 林建予 、 博焱 、 李宣榕
2018年,7月12日,緯來綜合台,20, 霹靂電娃 ,卓文萱 、 袁艾菲 、 沐喬 、 許孟哲 、 梁瀚名
2018年,7月21日 7月22日,台視 東森綜合台 愛奇藝台灣站,17, 愛的3.14159 ,邵雨薇 、 吳思賢 、 陳大天 、 李婕
2018年,7月30日 7月31日,華視 LINE TV CHOCO TV,17, 搖滾畢業生 ,黃偉晉 、 吳心緹 、 邱鋒澤 、 陳大天 、 林彥君 、 林子珊 、 楊景涵 、 林怡廷
2018年,8月18日,公視,4, 憤怒的菩薩 ,吳慷仁 、 巫建和 、 劉品言 、 林思宇 、 柯宇綸 、 劉冠廷
2018年,8月19日,台視 三立都會台,16, 高校英雄傳 ,羅宏正 、 劉宇菁 、 李運慶 、 張景嵐
2018年,9月1日 9月2日,Netflix 公視 民視 myVideo,20, 雙城故事 ,陳怡蓉 、 溫昇豪 、 曾珮瑜 、 黃柏鈞
2018年,9月6日,LUVE TV,10, 愛情練習生 ,唐振剛 、 簡廷芮 、 何孟遠 、 廖威廉 、 林雨葶
2018年,9月12日 9月17日,公視+ 公視,60, 8號公園 ,王琄 、 林秀君 、 江映瑤 、 赫容 、 尹昭德
